lambda,bits,seed,accuracy,compression_ratio,size_kb
0.02,32,0,0.9871,11.34,21.25
0.02,8,0,0.9874,44.0,5.48
0.02,4,0,0.9863,84.67,2.85
0.02,3,0,0.9385,109.99,2.19
0.02,2,0,0.0974,157.41,1.53
0.02,32,1,0.9882,9.91,24.32
0.02,8,1,0.9884,38.55,6.25
0.02,4,1,0.9782,74.43,3.24
0.02,3,1,0.9582,96.95,2.49
0.02,2,1,0.1016,139.13,1.73
0.05,32,0,0.9831,19.71,12.23
0.05,8,0,0.9833,75.48,3.19
0.05,4,0,0.9777,143.09,1.68
0.05,3,0,0.9153,183.92,1.31
0.05,2,0,0.0974,258.45,0.93
0.05,32,1,0.9825,21.21,11.36
0.05,8,1,0.9828,80.87,2.98
0.05,4,1,0.9763,152.55,1.58
0.05,3,1,0.9179,195.74,1.23
0.05,2,1,0.1032,273.64,0.88
0.1,32,0,0.3936,303.97,0.79
0.1,8,0,0.3907,910.79,0.26
0.1,4,0,0.263,1386.65,0.17
0.1,3,0,0.102,1582.21,0.15
0.1,2,0,0.1028,1855.82,0.13
0.1,32,1,0.8098,124.91,1.93
0.1,8,1,0.8085,430.01,0.56
0.1,4,1,0.7007,730.25,0.33
0.1,3,1,0.5055,878.38,0.27
0.1,2,1,0.1032,1121.93,0.21
