method,k,seed,accuracy,compression_ratio
da,4,0,0.1421,18.0903
da,4,1,0.1421,18.0903
da,4,2,0.1421,18.0903
da,4,3,0.1421,18.0903
da,4,4,0.1421,18.0903
kmeans++,4,0,0.0974,18.0903
kmeans++,4,1,0.1529,18.0903
kmeans++,4,2,0.1075,18.0903
kmeans++,4,3,0.0971,18.0903
kmeans++,4,4,0.1009,18.0903
kmeans_random,4,0,0.1106,18.0903
kmeans_random,4,1,0.1009,18.0903
kmeans_random,4,2,0.1171,18.0903
kmeans_random,4,3,0.0974,18.0903
kmeans_random,4,4,0.0978,18.0903
da,8,0,0.4776,9.5269
da,8,1,0.5636,9.5269
da,8,2,0.4649,9.5269
da,8,3,0.4654,9.5269
da,8,4,0.3819,9.5269
kmeans++,8,0,0.3673,9.5269
kmeans++,8,1,0.3293,9.5269
kmeans++,8,2,0.2832,9.5269
kmeans++,8,3,0.3653,9.5269
kmeans++,8,4,0.2914,9.5269
kmeans_random,8,0,0.313,9.5269
kmeans_random,8,1,0.3112,9.5269
kmeans_random,8,2,0.1714,9.5269
kmeans_random,8,3,0.1641,9.5269
kmeans_random,8,4,0.2209,9.5269
da,16,0,0.8969,5.14
da,16,1,0.8556,5.14
da,16,2,0.8415,5.14
da,16,3,0.8751,5.14
da,16,4,0.7918,5.14
kmeans++,16,0,0.7741,5.14
kmeans++,16,1,0.7768,5.14
kmeans++,16,2,0.5763,5.14
kmeans++,16,3,0.7964,5.14
kmeans++,16,4,0.5256,5.14
kmeans_random,16,0,0.528,5.14
kmeans_random,16,1,0.6227,5.14
kmeans_random,16,2,0.782,5.14
kmeans_random,16,3,0.5518,5.14
kmeans_random,16,4,0.7387,5.14
da,32,0,0.9848,3.036
da,32,1,0.9767,3.036
da,32,2,0.9759,3.036
da,32,3,0.9822,3.036
da,32,4,0.9826,3.036
kmeans++,32,0,0.9043,3.036
kmeans++,32,1,0.9732,3.036
kmeans++,32,2,0.8625,3.036
kmeans++,32,3,0.9847,3.036
kmeans++,32,4,0.9737,3.036
kmeans_random,32,0,0.9397,3.036
kmeans_random,32,1,0.924,3.036
kmeans_random,32,2,0.9567,3.036
kmeans_random,32,3,0.8952,3.036
kmeans_random,32,4,0.7503,3.036
da,64,0,0.9896,1.6693
da,64,1,0.9869,1.6693
da,64,2,0.9888,1.6693
da,64,3,0.9882,1.6693
da,64,4,0.9887,1.6693
kmeans++,64,0,0.9861,1.6693
kmeans++,64,1,0.9901,1.6693
kmeans++,64,2,0.9893,1.6693
kmeans++,64,3,0.9884,1.6693
kmeans++,64,4,0.9899,1.6693
kmeans_random,64,0,0.9886,1.6693
kmeans_random,64,1,0.9869,1.6693
kmeans_random,64,2,0.9833,1.6693
kmeans_random,64,3,0.9817,1.6693
kmeans_random,64,4,0.9881,1.6693
