k,arm,seed,accuracy
8,da,0,0.4776
8,kmeans++_n_init=1,0,0.3673
8,kmeans++_matched_per_layer,0,0.4301
8,kmeans++_matched_global_legacy,0,0.5326
8,da,1,0.5636
8,kmeans++_n_init=1,1,0.3293
8,kmeans++_matched_per_layer,1,0.3988
8,kmeans++_matched_global_legacy,1,0.3268
8,da,2,0.4649
8,kmeans++_n_init=1,2,0.2832
8,kmeans++_matched_per_layer,2,0.4298
8,kmeans++_matched_global_legacy,2,0.4647
8,da,3,0.4654
8,kmeans++_n_init=1,3,0.3653
8,kmeans++_matched_per_layer,3,0.5008
8,kmeans++_matched_global_legacy,3,0.3763
8,da,4,0.3819
8,kmeans++_n_init=1,4,0.2914
8,kmeans++_matched_per_layer,4,0.404
8,kmeans++_matched_global_legacy,4,0.3534
16,da,0,0.8969
16,kmeans++_n_init=1,0,0.7741
16,kmeans++_matched_per_layer,0,0.79
16,kmeans++_matched_global_legacy,0,0.8234
16,da,1,0.8556
16,kmeans++_n_init=1,1,0.7768
16,kmeans++_matched_per_layer,1,0.9352
16,kmeans++_matched_global_legacy,1,0.747
16,da,2,0.8415
16,kmeans++_n_init=1,2,0.5763
16,kmeans++_matched_per_layer,2,0.8203
16,kmeans++_matched_global_legacy,2,0.7944
16,da,3,0.8751
16,kmeans++_n_init=1,3,0.7964
16,kmeans++_matched_per_layer,3,0.898
16,kmeans++_matched_global_legacy,3,0.7855
16,da,4,0.7918
16,kmeans++_n_init=1,4,0.5256
16,kmeans++_matched_per_layer,4,0.9387
16,kmeans++_matched_global_legacy,4,0.8988
